Sample#,Rotation
761,  0.0000
762,  0.0000
763,  0.0000
764,  0.0000
765,  0.0000
766,  0.0000
767,  0.0000
768,  0.0000
769,  0.0000
770,  0.0000
771,  0.0000
772,  0.0000
773,  0.0000
774,  0.0000
775,  0.0000
776,  0.0000
777,  0.0000
778,  0.0000
779,  0.0000
780,  0.0000
781,  0.0000
782,  0.0000
783,  0.0000
784,  0.0000
785,  0.0000
786,  0.0000
787,  0.0000
788,  0.0000
789,  0.0000
790,  0.0000
791,  0.0000
792,  0.0000
793,  0.0000
794,  0.0000
795,  0.0000
796,  0.0000
797,  0.0000
798,  0.0000
799,  0.0000
800,  0.0000
801,  0.0000
802,  0.0000
803,  0.0000
804,  0.0000
805,  0.0000
806,  0.0000
807,  0.0000
808,  0.0000
809,  0.0000
810,  0.0000
811,  0.0000
812,  0.0000
813,  0.0000
814,  0.0000
815,  0.0000
816,  0.0000
817,  0.0000
818,  0.0000
819,  0.0000
820,  0.0000
821,  0.0000
822,  0.0000
823,  0.0000
824,  0.0000
825,  0.0000
826,  0.0000
827,  0.0000
828,  0.0000
829,  0.0000
830,  0.0000
831,  0.0000
832,  0.0000
833,  0.0000
834,  0.0000
835,  0.0000
836,  0.0000
837,  0.0000
838,  0.0000
839,  0.0000
840,  0.0000
841,  0.0000
842,  0.0000
843,  0.0000
844,  0.0000
845,  0.0000
846,  0.0000
847,  0.0000
848,  0.0000
849,  0.0000
850,  0.0000
851,  0.0000
852,  0.0000
853,  0.0000
854,  0.0000
855,  0.0000
856,  0.0000
857,  0.0000
858,  0.0000
859,  0.0000
860,  0.0000
861,  0.0000
862,  0.0000
863,  0.0000
864,  0.0000
865,  0.0000
866,  0.0000
867,  0.0000
868,  0.0000
869,  0.0000
870,  0.0000
871,  0.0000
872,  0.0000
873,  0.0000
874,  0.0000
875,  0.0000
876,  0.0000
877,  0.0000
878,  0.0000
879,  0.0000
880,  0.0000
881,  0.0000
882,  0.0000
883,  0.0000
884,  0.0000
885,  0.0000
886,  0.0000
887,  0.0000
888,  0.0000
889,  0.0000
890,  0.0000
891,  0.0000
892,  0.0000
893,  0.0000
894,  0.0000
895,  0.0000
896,  0.0000
897,  0.0000
898,  0.0000
899,  0.0000
900,  0.0000
901,  0.0000
902,  0.0000
903,  0.0000
904,  0.0000
905,  0.0000
906,  0.0000
907,  0.0000
908,  0.0000
909,  0.0000
910,  0.0000
911,  0.0000
912,  0.0000
913,  0.0000
914,  0.0000
915,  0.0000
916,  0.0000
917,  0.0000
918,  0.0000
919,  0.0000
920,  0.0000
921,  0.0000
922,  0.0000
923,  0.0000
924,  0.0000
925,  0.0000
926,  0.0000
927,  0.0000
928,  0.0000
929,  0.0000
930,  0.0000
931,  0.0000
932,  0.0000
933,  0.0000
934,  0.0000
935,  0.0000
936,  0.0000
937,  0.0000
938,  0.0000
939,  0.0000
940,  0.0000
941,  0.0000
942,  0.0000
943,  0.0000
944,  0.0000
945,  0.0000
946,  0.0000
947,  0.0000
948,  0.0000
949,  0.0000
950,  0.0000
951,  0.0000
952,  0.0000
953,  0.0000
954,  0.0000
955,  0.0000
956,  0.0000
957,  0.0000
958,  0.0000
959,  0.0000
960,  0.0000
961,  0.0000
962,  0.0000
963,  0.0000
964,  0.0000
965,  0.0000
966,  0.0000
967,  0.0000
968,  0.0000
969,  0.0000
970,  0.0000
971,  0.0000
972,  0.0000
973,  0.0000
974,  0.0000
975,  0.0000
976,  0.0000
977,  0.0000
978,  0.0000
979,  0.0000
980,  0.0000
981,  0.0000
982,  0.0000
983,  0.0000
984,  0.0000
985,  0.0000
986,  0.0000
987,  0.0000
988,  0.0000
989,  0.0000
990,  0.0000
991,  0.0000
992,  0.0000
993,  0.0000
994,  0.0000
995,  0.0000
996,  0.0000
997,  0.0000
998,  0.0000
999,  0.0000
1000,  0.0000
1001,  0.0000
1002,  0.0000
1003,  0.0000
1004,  0.0000
1005,  0.0000
1006,  0.0000
1007,  0.0000
1008,  0.0000
1009,  0.0000
1010,  0.0000
1011,  0.0000
1012,  0.0000
1013,  0.0000
1014,  0.0000
1015,  0.0000
1016,  0.0000
1017,  0.0000
1018,  0.0000
1019,  0.0000
1020,  0.0000
1021,  0.0000
1022,  0.0000
1023,  0.0000
1024,  0.0000
1025,  0.0000
1026,  0.0000
1027,  0.0000
1028,  0.0000
1029,  0.0000
1030,  0.0000
1031,  0.0000
1032,  0.0000
1033,  0.0000
1034,  0.0000
1035,  0.0000
1036,  0.0000
1037,  0.0000
1038,  0.0000
1039,  0.0000
1040,  0.0000
1041,  0.0000
1042,  0.0000
1043,  0.0000
1044,  0.0000
1045,  0.0000
1046,  0.0000
1047,  0.0000
1048,  0.0000
1049,  0.0000
1050,  0.0000
1051,  0.0000
1052,  0.0000
1053,  0.0000
1054,  0.0000
1055,  0.0000
1056,  0.0000
1057,  0.0000
1058,  0.0000
1059,  0.0000
1060,  0.0000
1061,  0.0000
1062,  0.0000
1063,  0.0000
1064,  0.0000
1065,  0.0000
1066,  0.0000
1067,  0.0000
1068,  0.0000
1069,  0.0000
1070,  0.0000
1071,  0.0000
1072,  0.0000
1073,  0.0000
1074,  0.0000
1075,  0.0000
1076,  0.0000
1077,  0.0000
1078,  0.0000
1079,  0.0000
1080,  0.0000
1081,  0.0000
1082,  0.0000
1083,  0.0000
1084,  0.0000
1085,  0.0000
1086,  0.0000
1087,  0.0000
1088,  0.0000
1089,  0.0000
1090,  0.0000
1091,  0.0000
1092,  0.0000
1093,  0.0000
1094,  0.0000
1095,  0
